"iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","PWLF_g","PWLF_o_LF","Y_o_L_t_PWLF_o_LF","log_Y_o_L_t_PWLF_o_LF"
"FRA",2020,2946958.25,54099.8,65876.8,NA,NA,NA,NA,NA,NA,NA,44.7343867643844,3.82285046056505,0.13645521794905,0.536369820221147,0.312503927925796,6.10424049575116,23.9941749865161,13.9796715772219,0.518631144120886,2.03860356323695,1.18774695550992,NA,2.08016301631925,93.0548169049937,7.90616395127099
"GRC",2020,284893.625,9600,11179.1,NA,NA,NA,NA,NA,NA,NA,25.4844866760294,3.27655915312202,0.204572916666667,0.464770833333333,0.313333333333333,5.21343576906813,11.8444461094904,7.98513915848921,0.662421404097695,1.50496044646015,1.01459523576856,NA,1.99711093163954,50.8953469279205,6.46678479747696
"HRV",2020,107392.0390625,3525.3,4138.4,NA,NA,NA,NA,NA,NA,NA,25.9501350914605,3.29398831001259,0.043485660794826,0.741582276685672,0.204578333758829,1.12845877216716,19.244160261426,5.3088353978275,0.141597000483982,2.41472301608137,0.666143227325817,NA,2.07736952180267,53.9080197256618,6.76428247398508
"HUN",2020,283145.15625,8241.5,9602.1,NA,NA,NA,NA,NA,NA,NA,29.4878366451089,3.41732780555107,0.0200570284535582,0.706788812716132,0.26793666201541,0.591438378624825,20.8416730519637,7.90087252074615,0.0678725402483947,2.39175769477858,0.906691732465245,NA,2.08656608514039,61.528319867844,7.06089343805572
"IND",2020,9170555,1017125.2,1382151.5,NA,NA,NA,NA,NA,NA,NA,6.63498538329554,2.03274102423465,0.196819722881706,0.422593501763598,0.118821360438223,1.3058959844644,2.80390170727715,0.788377989730902,0.372453074997697,0.799697545049873,0.224852369583025,NA,0.893261445777577,5.92677663619566,1.69036907168448
"IRL",2020,501053.59375,3839.8,4873.1,NA,NA,NA,NA,NA,NA,NA,102.820297910981,4.64266149989006,0.132637116516485,0.404708578571801,0.460310432835043,13.6377878342785,41.6122566158821,47.3292558356316,0.614505477343753,1.87500787707087,2.13261031063241,NA,2.21847471017061,228.104230607718,10.2781551390179
"ITA",2020,2466327.5,51236.2,59061.6,NA,NA,NA,NA,NA,NA,NA,41.7585622468744,3.75556946180471,0.142003114985108,0.682743841268478,0.168066718452969,5.92984591635571,28.5104011942799,7.01822452414622,0.529942065818897,2.54793482315433,0.627208945252429,NA,1.85890918211232,77.6253747925236,6.93727156789219
"LTU",2020,89642.1796875,2404.8,2838.9,NA,NA,NA,NA,NA,NA,NA,31.5763780645673,3.48358742647734,0.0417498336660013,0.421739853626081,0.531146041250832,1.31830853197046,13.3170170629924,16.7716682060345,0.144137514500033,1.45601859766866,1.8337335385547,NA,2.24655041473054,70.9379252366419,7.75601157045981
"LUX",2020,55710.79296875,501,599.3,NA,NA,NA,NA,NA,NA,NA,92.9597746850492,4.54286676179986,0.142914171656687,0.532734530938124,0.318562874251497,13.285269196506,49.5228819629534,29.6135330134408,0.647710873938285,2.41444179125877,1.44378010447696,NA,2.02176173538993,187.942515388702,9.16296155478661
"LVA",2020,56079.4453125,1630.9,1931.4,NA,NA,NA,NA,NA,NA,NA,29.0356452896862,3.40238485266219,0.0237292292599178,0.695444233245447,0.276289165491446,0.688993483788618,20.1926720752726,8.02223420659306,0.0799324835580679,2.34262074551836,0.930686746544325,NA,2.13765819997508,62.0682852450657,7.20075342737319
"MLT",2020,17134.908203125,366.8,429.5,NA,NA,NA,NA,NA,NA,NA,39.8950132785215,3.71100813088481,0.129225736095965,0.620229007633588,0.244274809160305,5.15546245747525,24.7440444952662,9.7453467550587,0.476358542277247,2.28632000776527,0.900458341519859,NA,1.69009514183834,67.4263681256052,6.23011547388744
"NLD",2020,950077.9375,14463,17214.7,NA,NA,NA,NA,NA,NA,NA,55.1899212591564,4.02873740379115,0.0939569937080827,0.596058908940054,0.308158749913573,5.18547908449614,32.8964442502203,17.0072571430501,0.376840864177793,2.39066135985276,1.23595705905807,NA,2.17391976531084,119.978460671229,8.71911467876657
"POL",2020,1211846.25,32238.8,38027.9,NA,NA,NA,NA,NA,NA,NA,31.8672934871502,3.49247804437577,0.0125873171457995,0.706229760412919,0.280906857575344,0.40112372970103,22.5056310444383,8.9517412729066,0.0435720078193161,2.44467095621042,0.972381616590706,NA,2.10109893414484,66.956336379932,7.27312247139705
"PRT",2020,325160.03125,8860.4,10204.2,NA,NA,NA,NA,NA,NA,NA,31.8653134248643,3.49241779840715,0.327761726332897,0.407080944426888,0.202586790664078,10.4442301382723,12.9717618834525,6.45549158024822,1.13455313663189,1.40911804294534,0.701257835561532,NA,1.55689540632112,49.610960092154,5.38922157389225
"ROU",2020,540045.75,16338.2,19222.9,NA,NA,NA,NA,NA,NA,NA,28.0938750136556,3.3705276713929,0.0633362304293007,0.694574677749079,0.23336108016795,1.77936014151686,19.5132941843327,6.55601701929005,0.211261263577,2.31678966486099,0.778387920023219,NA,1.96797418144638,55.2880206836559,6.56427939334604
"SVK",2020,149921.4375,4584.2,5429.6,NA,NA,NA,NA,NA,NA,NA,27.6118751841756,3.35382184787732,0.0107979582042668,0.755878888355656,0.230465511975917,0.298151874180161,20.8712335196298,6.36358495093616,0.0358302809768233,2.50819205278364,0.764741249535632,NA,2.12043547220201,58.5491995945405,7.0361263976924
"SVN",2020,70868.515625,1776.1,2095,NA,NA,NA,NA,NA,NA,NA,33.8274537589499,3.55040597688075,0.0243792579246664,0.738528236022746,0.232363042621474,0.824688220124165,24.9825297537383,7.86025007956681,0.0858460157222915,2.60055932616466,0.818213641768816,NA,1.96499733950842,66.4708566386808,6.91929151506401
"SWE",2020,526240.8125,8249.4,10048.5,NA,NA,NA,NA,NA,NA,NA,52.3700863312932,3.97725040794419,0.0769631730792543,0.553785729871263,0.366960021334885,4.03056801849081,29.0018064823963,19.2177279974411,0.30464606456204,2.19206974538545,1.45255090036574,NA,2.21359288535334,115.926050508291,8.76214342632401
"USA",2020,20595844,269132.6,331329.8,NA,NA,NA,NA,NA,NA,NA,62.1611578554057,4.14568952131893,0.0381756056308303,0.597232367985149,0.354003565528665,2.37303984784376,37.1246555026826,22.0052715182038,0.157654956550597,2.46640862585998,1.46193926251968,NA,2.15948638864305,134.23617429104,8.91809644267116
